Result Time,Granularity Period,Object Name,Reliability,"CR373:Cell In-Service Duration","R3710:Number of Cell BCCH Mutual Aids","R3711:Number of Recoveries after Cell BCCH Mutual Aids","R3720:Number of Cell Baseband Hopping Mutual Aids","R3721:Number of Recoveries after Cell Baseband Hopping Mutual Aids","R3722:Duration of Cell Turning off","R373:Cell Out-of-Service Duration","S3936U:Average Power Decrease on GSM 2.0 MHz Interfering Frequency","S3936V:Average Power Decrease on GSM 2.2 MHz Interfering Frequency","S3936W:Average Power Increase on GSM Non-Interfering Frequency","TR373:Cell Availability"
,Minutes,,,s,None,None,None,None,s,s,dB,dB,dB,%
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI652G2_CERRO_VELA, CellIndex=98, CGI=716060413197A",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI819G3_AVENIDA252, CellIndex=347, CGI=7160604132001",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI819G1_AVENIDA252, CellIndex=345, CGI=7160604131FFF",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI654H1_CENIZAS_2, CellIndex=96, CGI=716060413409D",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI654H2_CENIZAS_2, CellIndex=286, CGI=716060413409E",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI661G3_URA_PTE_PIEDRA, CellIndex=267, CGI=71606041319D5",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI661G2_URA_PTE_PIEDRA, CellIndex=266, CGI=71606041319D4",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI831G3_URA_ANCON, CellIndex=264, CGI=7160604132079",Unreliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI831G2_URA_ANCON, CellIndex=263, CGI=7160604132078",Unreliable,3600,0,0,0,0,0,0,,,,100
