Result Time,Granularity Period,Object Name,Reliability,"L5101:SABME Frames Sent by the BTS on LAPD Link","L5102:SABME Frames Received by the BTS on LAPD Link","L5103:BTS-Sent Rejects to the LAPD Setup Requests","L5104:BTS-Received Rejects to the LAPD Setup Requests","L5105:RNR Frames Sent by the BTS on LAPD Link","L5106:RNR Frames Received by the BTS on LAPD Link","L5107:I Frames Resent by the BTS on LAPD Link","L5108:NRERR Frames Received by the BTS on LAPD Link","L5109:L3 Data Requests Received by BTS on LAPD Link","L5110:I Frames Sent by the BTS on LAPD Link","L5111:I Frames Received by the BTS on LAPD Link","L5112:Queue Overflows of Messages Sent by BTS on LAPD Link","L5113:Erroneous Long Frames Received by BTS Physical Layer on LAPD Link","L5114:Erroneous Octet Received by BTS Physical Layer on LAPD Link","L5115:Discarded Series Received by BTS Physical Layer on LAPD Link","L5116:Number of Times the BTS Receives CRC Errors on LAPD Link","L5117:L1 and L2 Overflows on LAPD Link of the BTS","L5118:Total Frames Received by the BTS Physical Layer on LAPD Link"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2539, DestObjLabel=LI652G2_CERRO_VELA3, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,4612,4612,8749,0,0,0,0,0,0,16731
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2538, DestObjLabel=LI652G2_CERRO_VELA2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,8554,8554,17073,0,0,0,0,0,0,101701
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2536, DestObjLabel=LI652G2_CERRO_VELA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,23055,23055,53020,0,0,0,0,0,0,101701
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2540, DestObjLabel=LI652G2_CERRO_VELA4, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,1257,1257,2113,0,0,0,0,0,0,16731
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3766, DestObjLabel=LI819G3_AVENIDA2521, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3765, DestObjLabel=LI819G3_AVENIDA2520, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3758, DestObjLabel=LI819G1_AVENIDA2521, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3757, DestObjLabel=LI819G1_AVENIDA2520, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=12410, DestObjLabel=LI819G_AVENIDA252, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=122, DestObjLabel=LI819G_AVENIDA252, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3493, DestObjLabel=LI654H2_CENIZAS_21, DestObjType=TRX",Reliable,0,0,0,1,0,0,2,0,3509,3511,5976,0,0,0,0,0,0,50685
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3492, DestObjLabel=LI654H2_CENIZAS_20, DestObjType=TRX",Reliable,0,0,0,1,0,0,2,0,7618,7620,33579,0,0,0,0,0,0,50685
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2528, DestObjLabel=LI654H1_CENIZAS_22, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,4115,4115,8256,0,0,0,0,0,0,91920
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2527, DestObjLabel=LI654H1_CENIZAS_21, DestObjType=TRX",Reliable,0,0,0,0,0,0,1,0,5790,5791,8082,0,0,0,0,0,0,91920
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2526, DestObjLabel=LI654H1_CENIZAS_20, DestObjType=TRX",Reliable,0,0,0,1,0,0,5,0,19684,19689,45985,0,0,0,0,0,0,91920
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=12324, DestObjLabel=LI654H_CENIZAS_2, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,1499,1499,1484,0,0,0,0,0,0,28542
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=36, DestObjLabel=LI654H_CENIZAS_2, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,1447,1447,520,0,0,0,0,0,0,28542
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3400, DestObjLabel=LI661G3_URA_PTE_PIEDRA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,2345,2345,3122,0,0,0,0,0,0,54387
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3399, DestObjLabel=LI661G3_URA_PTE_PIEDRA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,9057,9057,39863,0,0,0,0,0,0,54387
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3394, DestObjLabel=LI661G2_URA_PTE_PIEDRA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,6962,6962,8465,0,0,0,0,0,0,60869
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3393, DestObjLabel=LI661G2_URA_PTE_PIEDRA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,9229,9229,36214,0,0,0,0,0,0,60869
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3385, DestObjLabel=LI831G3_URA_ANCON0, DestObjType=TRX",Unreliable,3,3,0,0,0,0,0,1,3906,3905,30611,0,0,0,0,0,0,34521
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3384, DestObjLabel=LI831G2_URA_ANCON3, DestObjType=TRX",Unreliable,0,3,0,0,0,0,0,0,4267,4267,9383,0,0,0,0,0,0,85970
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3380, DestObjLabel=LI831G2_URA_ANCON1, DestObjType=TRX",Unreliable,3,1,1,0,0,0,0,2,4468,4468,7615,0,0,0,0,0,0,85970
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3379, DestObjLabel=LI831G2_URA_ANCON0, DestObjType=TRX",Unreliable,0,1,0,0,0,0,0,0,7896,7896,10913,0,0,0,0,0,0,85970
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3381, DestObjLabel=LI831G2_URA_ANCON2, DestObjType=TRX",Unreliable,3,1,0,0,0,0,0,1,7737,7737,33681,0,0,0,0,0,0,85970
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3225, DestObjLabel=LI917G3_RUIBARDOS2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3224, DestObjLabel=LI917G3_RUIBARDOS1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3223, DestObjLabel=LI917G3_RUIBARDOS0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3216, DestObjLabel=LI917G1_RUIBARDOS1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3215, DestObjLabel=LI917G1_RUIBARDOS0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2922, DestObjLabel=LI655G3_LIMA_211, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,5468,5468,6295,0,0,0,0,0,0,50901
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2921, DestObjLabel=LI655G3_LIMA_210, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,6316,6316,32821,0,0,0,0,0,0,50901
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2910, DestObjLabel=LI655G1_LIMA_211, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,2325,2325,2363,0,0,0,0,0,0,38149
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2909, DestObjLabel=LI655G1_LIMA_210, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,4444,4444,29017,0,0,0,0,0,0,38149
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2758, DestObjLabel=LI648G3_GRANDE1, DestObjType=TRX",Reliable,0,0,0,0,0,0,1,0,5446,5447,6655,0,0,0,0,0,0,77080
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2757, DestObjLabel=LI648G3_GRANDE0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,8348,8348,33990,0,0,0,0,0,0,77080
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2752, DestObjLabel=LI648G2_GRANDE1, DestObjType=TRX",Reliable,0,0,0,0,0,0,1,0,7244,7245,11667,0,0,0,0,0,0,74305
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2751, DestObjLabel=LI648G2_GRANDE0, DestObjType=TRX",Reliable,0,0,0,3,0,0,8,0,12657,12665,42734,0,0,0,0,0,0,74305
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2760, DestObjLabel=LI648G3_GRANDE3, DestObjType=TRX",Reliable,0,0,0,1,0,0,2,0,3539,3541,4621,0,0,0,0,0,0,77080
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2759, DestObjLabel=LI648G3_GRANDE2, DestObjType=TRX",Reliable,0,0,0,1,0,0,2,0,6503,6505,7970,0,0,0,0,0,0,77080
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=12338, DestObjLabel=LI648G_GRANDE, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,2943,2943,2928,0,0,0,0,0,0,8245
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=50, DestObjLabel=LI648G_GRANDE, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,1639,1639,681,0,0,0,0,0,0,8245
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2707, DestObjLabel=LI910G1_FLORES1, DestObjType=TRX",Unreliable,0,1,0,0,0,0,0,0,15117,15117,18601,0,0,0,0,0,0,69962
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2719, DestObjLabel=LI910G3_FLORES2, DestObjType=TRX",Unreliable,0,1,0,0,0,0,0,0,11732,11732,17787,0,0,0,0,0,0,144207
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2718, DestObjLabel=LI910G3_FLORES1, DestObjType=TRX",Unreliable,2,1,0,0,0,0,0,1,11327,11327,14885,0,0,0,0,0,0,144207
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2717, DestObjLabel=LI910G3_FLORES0, DestObjType=TRX",Unreliable,2,1,1,0,0,0,0,2,29788,29788,58683,0,0,0,0,0,0,144207
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=2705, DestObjLabel=LI910G1_FLORES0, DestObjType=TRX",Unreliable,2,1,1,0,0,0,0,2,5050,5050,31188,0,0,0,0,0,0,69962
